transform,bacc,bacc_baseline,diff,t_stat,p_value,p_value_adj,reject
brightness,0.47592752873897554,0.45767754316329956,0.018249985575675965,1.0600055538041477,0.16881938185420414,0.6752775274168166,False
center_crop,0.45767754316329956,0.45767754316329956,0.0,,,,
contrast,0.4821853697299957,0.45767754316329956,0.024507826566696166,1.4059481832909928,0.10936779486841275,0.5468389743420637,False
elastic_transform,0.47672149538993835,0.45767754316329956,0.019043952226638794,0.05597620290996716,0.4787643649097446,1.0,False
equalize,0.4857616901397705,0.45767754316329956,0.028084146976470947,2.419928495613435,0.03006135689563271,0.2654694262851399,False
gaussian_blur,0.46740899980068207,0.45767754316329956,0.009731456637382507,0.008427867753491115,0.49680077046729243,1.0,False
gaussian_noise,0.49405945241451266,0.45767754316329956,0.036381909251213075,3.1554658573161394,0.012611692381468274,0.1891753857220241,False
grid_distortion,0.49014122486114503,0.45767754316329956,0.032463681697845456,1.6462035104992618,0.08031999334551158,0.4819199600730695,False
horizontal_flip,0.4824338525533676,0.45767754316329956,0.024756309390068055,3.133273310178794,0.012930875336121642,0.1891753857220241,False
median_blur,0.4802471876144409,0.45767754316329956,0.022569644451141357,2.435313269881206,0.029496602920571102,0.2654694262851399,False
random_crop,0.5035991817712784,0.45767754316329956,0.04592163860797882,5.776870886550145,0.001092936234334772,0.019344819122507094,True
rotation,0.51141916513443,0.45767754316329956,0.053741621971130374,2.6305098995246015,0.023252339819429556,0.25012954063111403,False
saturation,0.45778612792491913,0.45767754316329956,0.00010858476161956787,-0.7552863300489073,0.7579421894161088,1.0,False
scaling,0.5144904255867004,0.45767754316329956,0.05681288242340088,5.798785817459795,0.0010747121734726163,0.019344819122507094,True
shear_x,0.4861940771341324,0.45767754316329956,0.028516533970832824,1.8025869034680682,0.06565976025945207,0.45961832181616447,False
shear_y,0.4974780023097992,0.45767754316329956,0.039800459146499635,2.805382158470023,0.018876591588562506,0.2414920691545715,False
translate_x,0.5040031194686889,0.45767754316329956,0.0463255763053894,2.6490546877859265,0.022739049148283095,0.25012954063111403,False
translate_y,0.5076764672994614,0.45767754316329956,0.049998924136161804,2.818993207524732,0.018576313011890114,0.2414920691545715,False
vertical_flip,0.4781258761882782,0.45767754316329956,0.020448333024978636,4.043776361730531,0.0049429177085773554,0.07908668333723769,False
