augmentations,ops,bacc,baseline_bacc,diff
geometric,1,0.5298811882734299,0.45767754316329956,0.0722036451101303
geometric,2,0.5402561247348785,0.45767754316329956,0.08257858157157898
geometric,3,0.5535644054412842,0.45767754316329956,0.09588686227798462
geometric,4,0.5480628490447998,0.45767754316329956,0.09038530588150025
geometric,5,0.5417307376861572,0.45767754316329956,0.08405319452285767
photometric,1,0.5020752578973771,0.45767754316329956,0.044397714734077456
photometric,2,0.5209425657987594,0.45767754316329956,0.0632650226354599
photometric,3,0.5298234730958938,0.45767754316329956,0.0721459299325943
photometric,4,0.5315348386764527,0.45767754316329956,0.07385729551315308
photometric,5,0.5320914447307586,0.45767754316329956,0.07441390156745911
